Grp	Id	58	60	63	65	70	72	74	77	79	81	84	87	91	93	95	98	100	102	105	107	109	112	114	116	119	121	123	126	128	130	133	135	137	140	142	144	147	149	151	154	156	158	161	163
		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V
C3	C315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3	C321	0	0	44,2	56,7	155,5	156,7	177,9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3	C322	0	0	0	0	0	0	0	0	28,3	66,8	75	89,7	96,2	103	133,6	151,2	194,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3	C323	0	0	0	33,1	62,8	86,3	111,5	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3	C324	0	0	0	0	0	0	0	0	0	57,4	78,8	98,3	58,4	34,7	77,2	86,7	131,9	140	173,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3	C325	0	0	0	0	0	0	0	0	0	0	0	36,8	56,7	64,9	75,2	77,8	141,8	179,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4	C411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,1	0	0	0	0	0	0	0	0	24,7	29	28,3	30,6	30,7	32,6	36,8	46,3	36,6	45,9	56	56,7	52	30,7	60,3	62,5	62,1	74,7
C4	C412	0	0	0	0	0	7,1	25,4	41,8	62,3	126,4	141,9	82,1	150,8	114,9	163,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4	C413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4	C414	0	0	36,8	56,7	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4	C415	0	0	29,1	34,5	76,6	88	113,8	161,5	183,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4	C421	0	0	0	0	23,6	64	65,4	38,7	78,6	95,1	195,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4	C422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34,1	103,8	83,4	58,7	124,8	180,3	251,5	261,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4	C423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70,1	92,4	104,9	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4	C424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4	C425	0	0	0	0	0	7,1	15,7	28,1	36,1	95,3	121	132,9	118,3	128,7	136,1	143,3	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	C511	0	0	0	0	0	0	0	0	0	0	0	30	58	73	89	132	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	C512	0	0	28	75	98	137	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	C513	0	0	0	0	0	0	0	0	0	0	0	0	44	28	36	59	65	125	75	145	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	C514	7	7	16	57	146	201	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	C515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	39	17	205	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	C521	0	0	0	0	44	51	115	164	157	217	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	C522	0	0	0	0	0	47	131	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	C523	0	0	0	0	123	167	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5	C524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	59	64	40	44	50	127	135	195	0	0	0	0	0	0	0
C5	C525	0	0	0	0	54	59	127	141	163	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
