Use		Id	Grp	7	7	7			10	10	10			11	11	11			14	14	14			17	17	17			19	19	19			21	21	21			23	23	23			25	25	25			27	27	27			29	29	29		
	Cage	Color	Treatment	L	W	V	"day 7"	SEM	L	W	V	"day 9"	SEM	L	W	V	"day 11"	SEM	L	W	V	"day 14"	SEM	L	W	V	"day 17"	SEM	L	W	V	"day 19"	SEM	W	L	V	"day 21"	SEM	W	L	V			W	L	V			W	L	V			W	L	V		
x	5	black	HC	4,68	5,08	23,7744			5,93	5,72	33,9196			7,95	7,08	56,286			8,8	8,24	72,512			10,85	9,4	101,99			11,06	10,16	112,3696			11,36	11,5	130,64			13	11,37	147,81			12,79	12,6	161,154			15,52	12,81	198,8112							
	5	blue	HC	6,83	4,88	33,3304			9,48	7,04	66,7392			8,46	10,9	92,214			11,8	10,65	125,67			12,58	10,93	137,4994			13,67	11,65	159,2555			14,33	12,57	180,1281			13,99	14,89	208,3111					0												
x	5	red	HC	5,11	4,95	25,2945			6,72	7,09	47,6448			7,19	6,54	47,0226			9,41	7,84	73,7744			9,07	7,53	68,2971			9,08	9,05	82,174			9,36	8,53	79,8408			9,07	8,53	77,3671			12,09	10,2	123,318			12,88	12,22	157,3936			15,22	15,2	231,344		
x	6	black	NF	4,16	5,21	21,6736	21,8548777777778	2,06060714662355	4,45	4,1	18,245	36,6527888888889	4,97412754087601	5,42	5,4	29,268	56,4565111111111	8,38553850999585	5,77	5,35	30,8695	73,5151777777778	12,7464305561812	6,4	5,55	35,52	75,8091777777778	12,1672949835224	6,48	6,8	44,064	90,3247111111111	16,3338928240947	7,54	6,14	46,2956	94,7472333333333	19,0074860071265	7,94	7	55,58	97,1914875	17,4363758449083	8,24	7,92	65,2608	117,3200375	21,9257263386444	9,27	8,7	80,649	129,022885714286	22,4361246291054	8,62	9,36	80,6832	135,339242857143	24,6418663892545
x	6	green	NF	5,32	5,22	27,7704			5,77	6,5	37,505			7,91	7,32	57,9012			8,55	7,84	67,032			8,16	8,73	71,2368			9,28	7,94	73,6832			8,92	8	71,36			10,34	10,2	105,468			11,35	12,55	142,4425			14,3	12,4	177,32			15,95	13,56	216,282		
x	6	blue	NF	5,25	4,63	24,3075			5,62	6,22	34,9564			7,47	6,37	47,5839			6,55	7,25	47,4875			7,08	6,41	45,3828			7,94	7,38	58,5972			8,73	7,51	65,5623			8,26	7,91	65,3366			8,95	8,91	79,7445			10,35	9,27	95,9445			9,37	10,94	102,5078		
x	6	red	NF	5,4	5,47	29,538			5,01	4,45	22,2945			6,35	6	38,1			6,64	6,55	43,492			6,02	6,18	37,2036			5,91	6,7	39,597			6	6	36			5,27	5,87	30,9349			6,08	5,51	33,5008			7,96	6,76	53,8096			6,06	6,79	41,1474		
x	7	0	NF	5,16	5,27	27,1932			8,44	7,96	67,1824			10,91	10,4	113,464			11,78	11,52	135,7056			11,86	12	142,32			12,84	11,47	147,2748			12,62	11,38	143,6156			12,26	13,42	164,5292			15,16	14,48	219,5168												
x	7	black	NF	3,52	3,65	12,848			5,17	5,22	26,9874			6,66	7,09	47,2194			8,25	8,84	72,93			10,02	7,59	76,0518			10	9,68	96,8			9,96	10,68	106,3728			11,64	10,62	123,6168			11,55	13,07	150,9585			15,35	13,59	208,6065					208,6065		
x	7	green	NF	4,26	4,52	19,2552			6,32	6,2	39,184			8,29	7,85	65,0765			9,95	10,68	106,266			10,06	9,76	98,1856			13	12,05	156,65			11,64	12,2	142,008			14,38	11,88	170,8344			13,41	13,58	182,1078			14,56	14,46	210,5376					210,5376		
